date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:06:12	57529/57529	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Nov%202018%2011:08:32%20GMT	https://www.w3schools.com/js/js_comments.asp	/home/ik_2dw3/My%20Web%20Sites/JavaScript/www.w3schools.com/js/js_comments.html	(from https://www.w3schools.com/js/)
19:06:13	63840/63840	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Nov%202018%2004:42:05%20GMT	https://www.w3schools.com/js/js_variables.asp	/home/ik_2dw3/My%20Web%20Sites/JavaScript/www.w3schools.com/js/js_variables.html	(from https://www.w3schools.com/js/)
19:06:15	63291/63291	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Nov%202018%2006:20:17%20GMT	https://www.w3schools.com/js/js_operators.asp	/home/ik_2dw3/My%20Web%20Sites/JavaScript/www.w3schools.com/js/js_operators.html	(from https://www.w3schools.com/js/)
19:06:16	67252/67252	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Nov%202018%2007:00:52%20GMT	https://www.w3schools.com/js/js_arithmetic.asp	/home/ik_2dw3/My%20Web%20Sites/JavaScript/www.w3schools.com/js/js_arithmetic.html	(from https://www.w3schools.com/js/)
19:06:17	57180/57180	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Nov%202018%2005:05:49%20GMT	https://www.w3schools.com/js/js_assignment.asp	/home/ik_2dw3/My%20Web%20Sites/JavaScript/www.w3schools.com/js/js_assignment.html	(from https://www.w3schools.com/js/)
19:06:18	70181/70181	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Nov%202018%2010:42:04%20GMT	https://www.w3schools.com/js/js_datatypes.asp	/home/ik_2dw3/My%20Web%20Sites/JavaScript/www.w3schools.com/js/js_datatypes.html	(from https://www.w3schools.com/js/)
19:06:19	61170/61170	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Nov%202018%2010:01:37%20GMT	https://www.w3schools.com/js/js_functions.asp	/home/ik_2dw3/My%20Web%20Sites/JavaScript/www.w3schools.com/js/js_functions.html	(from https://www.w3schools.com/js/)
19:06:20	62375/62375	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Nov%202018%2007:53:03%20GMT	https://www.w3schools.com/js/js_objects.asp	/home/ik_2dw3/My%20Web%20Sites/JavaScript/www.w3schools.com/js/js_objects.html	(from https://www.w3schools.com/js/)
19:06:21	58850/58850	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Nov%202018%2009:28:03%20GMT	https://www.w3schools.com/js/js_events.asp	/home/ik_2dw3/My%20Web%20Sites/JavaScript/www.w3schools.com/js/js_events.html	(from https://www.w3schools.com/js/)
19:06:22	64120/64120	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Nov%202018%2006:14:56%20GMT	https://www.w3schools.com/js/js_strings.asp	/home/ik_2dw3/My%20Web%20Sites/JavaScript/www.w3schools.com/js/js_strings.html	(from https://www.w3schools.com/js/)
